ID,Type,Case,Floor,N_i,Vy_i,Vz_i,T_i,My_i,Mz_i,N_j,Vy_j,Vz_j,T_j,My_j,Mz_j
E1_198,viga,C3,CIELO_4,-0.7628856823482081,0.554282309613104,0.2816906305077745,-0.3766549770127323,-3.5979518530318213,0.8118466109678049,0.7628856823482081,-0.554282309613104,-0.2816906305077745,0.3766549770127323,2.907809808287773,0.5461450475843014
E1_199,viga,C1,CIELO_4,2.316597490263927,1.1293104365457682,-0.040483325496550066,-1.7205106741413354,-1.5805285944819554,2.394704025507446,-2.316597490263927,-1.1293104365457682,0.040483325496550066,1.7205106741413354,1.683761074498158,0.48503758768425986
E1_199,viga,C2,CIELO_4,2.316597490263927,1.1293104365457682,-0.040483325496550066,-1.7205106741413354,-1.5805285944819554,2.394704025507446,-2.316597490263927,-1.1293104365457682,0.040483325496550066,1.7205106741413354,1.683761074498158,0.48503758768425986
E1_199,viga,C3,CIELO_4,2.316597490263927,1.1293104365457682,-0.040483325496550066,-1.7205106741413354,-1.5805285944819554,2.394704025507446,-2.316597490263927,-1.1293104365457682,0.040483325496550066,1.7205106741413354,1.683761074498158,0.48503758768425986
E1_2,viga,C1,CIELO_1,-43.25345959058514,3.3000407660915094,-106.52306863387128,9.683846898857617,263.897492063712,8.718526002103992,43.25345959058514,-3.3000407660915094,106.52306863387128,-9.683846898857617,268.7178511056444,7.781677828353555
E1_2,viga,C2,CIELO_1,-43.25345959058514,3.3000407660915094,-106.52306863387128,9.683846898857617,263.897492063712,8.718526002103992,43.25345959058514,-3.3000407660915094,106.52306863387128,-9.683846898857617,268.7178511056444,7.781677828353555
E1_2,viga,C3,CIELO_1,-43.25345959058514,3.3000407660915094,-106.52306863387128,9.683846898857617,263.897492063712,8.718526002103992,43.25345959058514,-3.3000407660915094,106.52306863387128,-9.683846898857617,268.7178511056444,7.781677828353555
E1_20,viga,C1,CIELO_1,3.5700463820685364,-0.2935587416602859,-77.77470703187146,-14.862956468875263,202.15227493754713,-0.36419906169836336,-3.5700463820685364,0.2935587416602859,77.77470703187146,14.862956468875263,186.7212602218101,-1.1035946466030662
E1_20,viga,C2,CIELO_1,3.5700463820685364,-0.2935587416602859,-77.77470703187146,-14.862956468875263,202.15227493754713,-0.36419906169836336,-3.5700463820685364,0.2935587416602859,77.77470703187146,14.862956468875263,186.7212602218101,-1.1035946466030662
E1_20,viga,C3,CIELO_1,3.5700463820685364,-0.2935587416602859,-77.77470703187146,-14.862956468875263,202.15227493754713,-0.36419906169836336,-3.5700463820685364,0.2935587416602859,77.77470703187146,14.862956468875263,186.7212602218101,-1.1035946466030662
E1_200,viga,C1,CIELO_4,1.2444755251465578,1.6657402419445153,1.4724255188311226,-0.9328772430765269,-2.6228422293600504,1.9252785724394925,-1.2444755251465578,-1.6657402419445153,-1.4724255188311226,0.9328772430765269,-0.9846002917762045,2.1557850203245748
E1_200,viga,C2,CIELO_4,1.2444755251465578,1.6657402419445153,1.4724255188311226,-0.9328772430765269,-2.6228422293600504,1.9252785724394925,-1.2444755251465578,-1.6657402419445153,-1.4724255188311226,0.9328772430765269,-0.9846002917762045,2.1557850203245748
E1_200,viga,C3,CIELO_4,1.2444755251465578,1.6657402419445153,1.4724255188311226,-0.9328772430765269,-2.6228422293600504,1.9252785724394925,-1.2444755251465578,-1.6657402419445153,-1.4724255188311226,0.9328772430765269,-0.9846002917762045,2.1557850203245748
E1_201,viga,C1,CIELO_4,0.542502249666842,-2.390154157156705,1.2317517220102965,-4.737926073548102,1.0645012514460321,2.374373940333235,-0.542502249666842,2.390154157156705,-1.2317517220102965,-6.224664252343537,-1.0645012514460321,2.4538960817016586
E1_201,viga,C2,CIELO_4,0.542502249666842,-2.390154157156705,1.2317517220102965,-4.737926073548102,1.0645012514460321,2.374373940333235,-0.542502249666842,2.390154157156705,-1.2317517220102965,-6.224664252343537,-1.0645012514460321,2.4538960817016586
E1_201,viga,C3,CIELO_4,0.542502249666842,-2.390154157156705,1.2317517220102965,-4.737926073548102,1.0645012514460321,2.374373940333235,-0.542502249666842,2.390154157156705,-1.2317517220102965,-6.224664252343537,-1.0645012514460321,2.4538960817016586
E1_202,viga,C1,CIELO_4,-0.762629010747399,-2.4083298294997593,-1.7172341063946237,6.987853940740539,-2.27361388778548,-2.803872063205339,0.762629010747399,2.4083298294997593,1.7172341063946237,5.462093330620484,2.27361388778548,-2.725188264713304
E1_202,viga,C2,CIELO_4,-0.762629010747399,-2.4083298294997593,-1.7172341063946237,6.987853940740539,-2.27361388778548,-2.803872063205339,0.762629010747399,2.4083298294997593,1.7172341063946237,5.462093330620484,2.27361388778548,-2.725188264713304
E1_202,viga,C3,CIELO_4,-0.762629010747399,-2.4083298294997593,-1.7172341063946237,6.987853940740539,-2.27361388778548,-2.803872063205339,0.762629010747399,2.4083298294997593,1.7172341063946237,5.462093330620484,2.27361388778548,-2.725188264713304
E1_203,viga,C1,CIELO_4,0.42476781833630933,-2.7959739837687545,0.7760795576145451,-3.127793683236006,0.6526346298413361,1.7507554186391898,-0.42476781833630933,2.7959739837687545,-0.7760795576145451,-3.7793143795334445,-0.6526346298413361,2.0296781645539634
E1_203,viga,C2,CIELO_4,0.42476781833630933,-2.7959739837687545,0.7760795576145451,-3.127793683236006,0.6526346298413361,1.7507554186391898,-0.42476781833630933,2.7959739837687545,-0.7760795576145451,-3.7793143795334445,-0.6526346298413361,2.0296781645539634
E1_203,viga,C3,CIELO_4,0.42476781833630933,-2.7959739837687545,0.7760795576145451,-3.127793683236006,0.6526346298413361,1.7507554186391898,-0.42476781833630933,2.7959739837687545,-0.7760795576145451,-3.7793143795334445,-0.6526346298413361,2.0296781645539634
E1_204,viga,C1,CIELO_4,-0.7629044585498979,-2.782257914595685,-0.510480486096206,2.324658186931012,-1.738169234267493,-2.8887126047727105,0.7629044585498979,2.782257914595685,0.510480486096206,1.3763253372664814,1.738169234267493,-2.6423447197140497
E1_204,viga,C2,CIELO_4,-0.7629044585498979,-2.782257914595685,-0.510480486096206,2.324658186931012,-1.738169234267493,-2.8887126047727105,0.7629044585498979,2.782257914595685,0.510480486096206,1.3763253372664814,1.738169234267493,-2.6423447197140497
E1_204,viga,C3,CIELO_4,-0.7629044585498979,-2.782257914595685,-0.510480486096206,2.324658186931012,-1.738169234267493,-2.8887126047727105,0.7629044585498979,2.782257914595685,0.510480486096206,1.3763253372664814,1.738169234267493,-2.6423447197140497
E1_205,viga,C1,CIELO_3,5.913830031739115e-13,-1.7388676371732925e-14,13.467931087065931,-15.25460738373456,-32.61514123710579,1.7131626373194245e-13,-5.913830031739115e-13,1.7388676371732925e-14,-13.467931087065931,15.25460738373456,2.985692845560738,-2.0957135174975489e-13
E1_205,viga,C2,CIELO_3,5.913830031739115e-13,-1.7388676371732925e-14,13.467931087065931,-15.25460738373456,-32.61514123710579,1.7131626373194245e-13,-5.913830031739115e-13,1.7388676371732925e-14,-13.467931087065931,15.25460738373456,2.985692845560738,-2.0957135174975489e-13
E1_205,viga,C3,CIELO_3,5.913830031739115e-13,-1.7388676371732925e-14,13.467931087065931,-15.25460738373456,-32.61514123710579,1.7131626373194245e-13,-5.913830031739115e-13,1.7388676371732925e-14,-13.467931087065931,15.25460738373456,2.985692845560738,-2.0957135174975489e-13
E1_206,viga,C1,CIELO_3,0.0,-9.525970534079765e-14,6.198422889434146,-1.0842976911808748,-10.650837511194133,-1.6299994024980933e-13,0.0,9.525970534079765e-14,-6.198422889434146,1.0842976911808748,-2.985692845560989,-4.6571411499945523e-14
E1_206,viga,C2,CIELO_3,0.0,-9.525970534079765e-14,6.198422889434146,-1.0842976911808748,-10.650837511194133,-1.6299994024980933e-13,0.0,9.525970534079765e-14,-6.198422889434146,1.0842976911808748,-2.985692845560989,-4.6571411499945523e-14
E1_206,viga,C3,CIELO_3,0.0,-9.525970534079765e-14,6.198422889434146,-1.0842976911808748,-10.650837511194133,-1.6299994024980933e-13,0.0,9.525970534079765e-14,-6.198422889434146,1.0842976911808748,-2.985692845560989,-4.6571411499945523e-14
E1_207,viga,C1,CIELO_3,3.43781901699724e-14,0.0,6.260116886940755,-15.254607383734584,-2.985692845561145,-5.4677437146898296e-14,-3.43781901699724e-14,-0.0,-6.260116886940755,-1.0842976911807813,2.985692845561145,1.4440451349052624e-13
E1_207,viga,C2,CIELO_3,3.43781901699724e-14,0.0,6.260116886940755,-15.254607383734584,-2.985692845561145,-5.4677437146898296e-14,-3.43781901699724e-14,-0.0,-6.260116886940755,-1.0842976911807813,2.985692845561145,1.4440451349052624e-13
E1_207,viga,C3,CIELO_3,3.43781901699724e-14,0.0,6.260116886940755,-15.254607383734584,-2.985692845561145,-5.4677437146898296e-14,-3.43781901699724e-14,-0.0,-6.260116886940755,-1.0842976911807813,2.985692845561145,1.4440451349052624e-13
E1_208,viga,C1,CIELO_3,3.163867814080273e-13,4.984837574645999e-13,18.656962665809047,-49.778970248942166,-10.65083751119431,5.229406168152067e-13,-3.163867814080273e-13,-4.984837574645999e-13,-18.656962665809047,1.0842976911805593,10.65083751119431,3.028288826597444e-13
E1_208,viga,C2,CIELO_3,3.163867814080273e-13,4.984837574645999e-13,18.656962665809047,-49.778970248942166,-10.65083751119431,5.229406168152067e-13,-3.163867814080273e-13,-4.984837574645999e-13,-18.656962665809047,1.0842976911805593,10.65083751119431,3.028288826597444e-13
E1_208,viga,C3,CIELO_3,3.163867814080273e-13,4.984837574645999e-13,18.656962665809047,-49.778970248942166,-10.65083751119431,5.229406168152067e-13,-3.163867814080273e-13,-4.984837574645999e-13,-18.656962665809047,1.0842976911805593,10.65083751119431,3.028288826597444e-13
E1_209,viga,C1,CIELO_2,0.0,-3.0997205706132575e-14,-3.5482980190434693e-13,0.0,7.727404574805778e-13,-3.3265293928532517e-14,0.0,3.0997205706132575e-14,3.5482980190434693e-13,0.0,7.88510670898546e-15,-3.4928558624959146e-14
E1_209,viga,C2,CIELO_2,0.0,-3.0997205706132575e-14,-3.5482980190434693e-13,0.0,7.727404574805778e-13,-3.3265293928532517e-14,0.0,3.0997205706132575e-14,3.5482980190434693e-13,0.0,7.88510670898546e-15,-3.4928558624959146e-14
E1_209,viga,C3,CIELO_2,0.0,-3.0997205706132575e-14,-3.5482980190434693e-13,0.0,7.727404574805778e-13,-3.3265293928532517e-14,0.0,3.0997205706132575e-14,3.5482980190434693e-13,0.0,7.88510670898546e-15,-3.4928558624959146e-14
E1_21,viga,C1,CIELO_1,-2.7097371672290618,0.6559649743384952,90.57036152814334,15.700024581606748,-230.1598025623655,2.252092638402152,2.7097371672290618,-0.6559649743384952,-90.57036152814334,-15.700024581606748,-222.69200507835114,1.0277322332903245
E1_21,viga,C2,CIELO_1,-2.7097371672290618,0.6559649743384952,90.57036152814334,15.700024581606748,-230.1598025623655,2.252092638402152,2.7097371672290618,-0.6559649743384952,-90.57036152814334,-15.700024581606748,-222.69200507835114,1.0277322332903245
